Pure Backtracking :

M   L   Output (Optimal length, [Optimal Ruler])
2	1	(1,  [0, 1])
3	3	(3,  [0, 1, 3])
4	6	(6,  [0, 1, 4, 6])
5	11	(11, [0, 1, 4, 9, 11])
6	17	(17, [0, 1, 4, 10, 12, 17])
7	25	(25, [0, 1, 4, 10, 18, 23, 25])
8	34	(34, [0, 1, 4, 9, 15, 22, 32, 34])
9	44	(44, [0, 1, 5, 12, 25, 27, 35, 41, 44])
10	55	(55, [0, 1, 6, 10, 23, 26, 34, 41, 53, 55])
11	72	(72, [0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72])

Backtracking + Forward Checking :

M   L   Output (Optimal length, [Optimal Ruler])
2	1	(1,  [0, 1])
3	3	(3,  [0, 1, 3])
4	6	(6,  [0, 1, 4, 6])
5	11	(11, [0, 1, 4, 9, 11])
6	17	(17, [0, 1, 4, 10, 12, 17])
7	25	(25, [0, 1, 4, 10, 18, 23, 25])
8	34	(34, [0, 1, 4, 9, 15, 22, 32, 34])
9	44	(44, [0, 1, 5, 12, 25, 27, 35, 41, 44])
10	55	(55, [0, 1, 6, 10, 23, 26, 34, 41, 53, 55])
11	72	(72, [0, 1, 4, 13, 28, 33, 47, 54, 64, 70, 72])
